PRODUTOR;CNPJ_PRODUTOR;PAIS_PRODUTOR;TITULO_ORIGINAL;CPB
27.873.618 LUCILIPE DA SILVA MACIEL;027.873.618/0001-12;BRASIL;DI SAQUÊ;B2500320200000
27.873.618 LUCILIPE DA SILVA MACIEL;027.873.618/0001-12;BRASIL;FORA DE LUGAR;B2500478900000
27.889.842 BRUNO TADEU DE CARVALHO LINHARES;027.889.842/0001-00;BRASIL;A ÚLTIMA VEZ QUE SAÍMOS DO ARMÁRIO;B2200241000000
27.889.842 BRUNO TADEU DE CARVALHO LINHARES;027.889.842/0001-00;BRASIL;ARTEIRO;B1800233100000
27.962.458 JOAO VITOR DOS SANTOS NOGUEIRA;027.962.458/0001-88;BRASIL;DARIA UM FILME;B2500170700000
28.515.961 FABIANA ANJOS BLANCO;028.515.961/0001-58;BRASIL;EU, SENHORA DO MEU SONHO;B2600041600000
28.711.574 THIAGO BECKENKAMP BRITO;028.711.574/0001-97;BRASIL;TUDO O QUE ME RESTOU;B2300170100000
29.395.060 ALEXANDRE ARAUJO DE OLIVEIRA;029.395.060/0001-32;BRASIL;MARIPOSA;B2600109600000
29.442.148 GABRIEL MATHEUS GONCIM;029.442.148/0001-68;BRASIL;CORRER OU MORRER;B2500209200000
29.458.394 IAGO COELHO DE ARAUJO;029.458.394/0001-08;BRASIL;MEÇA TRÊS VEZES ANTES DE CORTAR;B2500333300000
29.462.394 FRANCISCO EDUARDO SERRA GRANDE DA SILVA;029.462.394/0001-81;BRASIL;ARRUMA UM PESSOAL PRA GENTE BOTAR UMA MACUMBA NUM DISCO;B2300158500000
29.462.394 FRANCISCO EDUARDO SERRA GRANDE DA SILVA;029.462.394/0001-81;BRASIL;KINO COPA 2 - A ÚLTIMA COPA;B1900313100000
29.714.081 ANDRE MOURA LOPES;029.714.081/0001-73;BRASIL;NOTAS DE YAKECAN;B2400040000000
29.727.889 MARIA ANDREIA DOS SANTOS;029.727.889/0001-95;BRASIL;CORAÇÃO DE PANO;B2400292300000
29.782.725 DARIO ALVAREZ LOPES;029.782.725/0001-60;BRASIL;QUARTAS-DE-FINAL, OU PORQUE EU DECIDI TORCER CONTRA O BRASIL;B2300518100000
29.797.916 RAFAEL MAURICIO DA COSTA;029.797.916/0001-04;BRASIL;PINTA: UM GUIA ARROXADO;B2500437900000
29.912.759 RENATA DA SILVA DUBOIS;029.912.759/0001-22;BRASIL;DROPZANDO NA TV;B2600136000000
29.940.417 THOMAS LEHNHART DE MORAES;029.940.417/0001-16;BRASIL;A ARTE RESPIRA;B2500209600000
2AMADOS SERVIÇOS DE FOTOGRAFIA LTDA;007.944.799/0001-13;BRASIL;PONHO A MÃO NO FOGO;B1600494700000
2BB2 PRODUÇÕES ARTÍSTICAS LTDA. - ME;007.171.073/0001-95;BRASIL;MAZZAROPI EM SÃO PAULO;B2500041200000
2BB2 PRODUÇÕES ARTÍSTICAS LTDA. - ME;007.171.073/0001-95;BRASIL;MERCADO MUNICIPAL – UM CORAÇÃO QUE PULSA FORTE EM TAUBATÉ;B2500054700000
2BB2 PRODUÇÕES ARTÍSTICAS LTDA. - ME;007.171.073/0001-95;BRASIL;PAULO CAMILHER FLORENÇANO – UMA VIDA DEDICADA À MEMÓRIA DE UM POVO;B2500043700000
2BB2 PRODUÇÕES ARTÍSTICAS LTDA. - ME;007.171.073/0001-95;BRASIL;TONY E CELLY CAMPELLO;B2500066100000
2BE SOLUCOES DIGITAIS LTDA-ME;017.751.943/0001-59;BRASIL;DESTINOS IMPERDIVEIS - CHECKINS PELO BRASIL;B2200212800000
2BE SOLUCOES DIGITAIS LTDA-ME;017.751.943/0001-59;BRASIL;DI TRAVEL DROPS;B1700437800000
2FLY COMUNICAÇÃO LTDA;010.401.948/0001-02;BRASIL;JÚLIO E VERNE OS IRMÃOS GEMIAIS;B1700089300000
2JBG LTDA;023.153.170/0001-01;BRASIL;MINHA BLUSA - JONATHAN COSTA FEAT. MC SMITH;B1700568200000
2JBG LTDA;023.153.170/0001-01;BRASIL;NINGUÉM VAI FICAR PARADO;B1700624700000
2K CINEMA REPORTER LTDA;009.201.241/0001-73;BRASIL;"""ASMQ UMA PARCERIA INOVADORA CONTRA A MALÁRIA""";B0800962200000
2K CINEMA REPORTER LTDA;009.201.241/0001-73;BRASIL;"""EMERGÊNCIA""";B0800942600000
2K CINEMA REPORTER LTDA;009.201.241/0001-73;BRASIL;"""UM PROFESSOR BRASILEIRO NO IRAQUE""";B0800942800000
2K CINEMA REPORTER LTDA;009.201.241/0001-73;BRASIL;"""UMA ELEIÇÃO PARA INGLÊS VER""";B0800942300000
2M PRODUÇÕES CINEMATOGRÁFICAS LTDA.;027.932.716/0001-83;BRASIL;GODLESS - ALÉM DA CRENÇA;B2300537800000
2MO PRODUÇÕES ARTÍSTICAS LTDA;037.197.719/0001-74;BRASIL;EU, VOCÊ E A PINGA;B2100153400000
